,price_per_sqm_smoothed
1970-06-01,5107.027320629896
1970-07-01,5054.955223040331
1970-08-01,5021.7035216379
1970-09-01,5027.389095823895
1970-10-01,5004.5407898022995
1970-11-01,4982.238763769099
1970-12-01,4963.188390126954
1971-01-01,5002.4747419682235
1971-02-01,5032.850044189414
1971-03-01,5065.241182748674
1971-04-01,5074.86049160165
1971-05-01,5054.929320470267
1971-06-01,5064.256482332542
1971-07-01,5012.184384742976
1971-08-01,4978.932683340546
1971-09-01,4984.618257526541
1971-10-01,4961.769951504945
1971-11-01,4939.467925471745
1971-12-01,4920.4175518296
1972-01-01,4959.703903670869
1972-02-01,4990.07920589206
1972-03-01,5022.47034445132
1972-04-01,5032.089653304296
1972-05-01,5012.158482172913
1972-06-01,5021.485644035188
1972-07-01,4969.413546445622
1972-08-01,4936.1618450431915
1972-09-01,4941.847419229187
1972-10-01,4918.999113207591
1972-11-01,4896.697087174391
1972-12-01,4877.6467135322455
1973-01-01,4916.933065373515
1973-02-01,4947.3083675947055
1973-03-01,4979.699506153966
1973-04-01,4989.318815006942
1973-05-01,4969.387643875559
1973-06-01,4978.7148057378345
1973-07-01,4926.642708148267
1973-08-01,4893.391006745837
1973-09-01,4899.076580931833
1973-10-01,4876.228274910237
1973-11-01,4853.926248877036
1973-12-01,4834.875875234891
1974-01-01,4874.162227076161
1974-02-01,4904.537529297351
1974-03-01,4936.928667856611
1974-04-01,4946.547976709588
1974-05-01,4926.616805578205
1974-06-01,4935.943967440479
1974-07-01,4883.871869850914
1974-08-01,4850.620168448483
1974-09-01,4856.3057426344785
1974-10-01,4833.457436612883
1974-11-01,4811.155410579682
1974-12-01,4792.105036937537
1975-01-01,4831.391388778807
1975-02-01,4861.766690999997
1975-03-01,4894.157829559257
1975-04-01,4903.777138412233
1975-05-01,4883.84596728085
1975-06-01,4893.173129143125
1975-07-01,4841.10103155356
1975-08-01,4807.849330151129
1975-09-01,4813.534904337124
1975-10-01,4790.6865983155285
1975-11-01,4768.384572282328
1975-12-01,4749.334198640183
1976-01-01,4788.6205504814525
1976-02-01,4818.995852702643
